# derived from http://www.medo.jp/anatomy_la.htm
# 0.rb によつて CSV にした．

angulus oculi medialis,内眼角,medial ocular angle
angulus oris,口角,angle of mouth
angulus pontocerebellaris,橋小脳三角,cerebellopontine angle
angulus sphenoidalis,蝶形骨角,sphenoidal angle
angulus sterni,胸骨角,sternal angle
angulus subpubicus,恥骨下角,subpubic angle
angulus superior,上角,superior angle
ansa,ワナ,ansa
ansa cervicalis,頚神経ワナ,--
ansa subclavia,鎖骨下ワナ,--
antrum,洞,[E][L]
antrum mastoideum,乳突洞,mastoid antrum
antrum pyloricum,幽門洞,pyloric antrum
anulus,輪,ring
anulus conjunctivae,結膜輪,conjunctival ring
anulus fibrocartilagineus,線維軟骨輪,fibrocartilaginous ring
anulus fibrosus,線維輪,fibrous ring
anulus inguinalis profundus,深鼠径輪,deep inguinal ring
anulus inguinalis superficialis,浅鼠径輪,superficial inguinal ring
anulus iridis major,大虹彩輪,outer border of iris
anulus iridis minor,小虹彩輪,inner border of iris
anulus lymphaticus cardiae,噴門リンパ輪,nodes around cardia[pl]
anulus tympanicus,鼓室輪,tympanic ring
anulus umbilicalis,臍輪,umbilical ring
anus,肛門,anus
aorta,大動脈,aorta
aorta abdominalis,腹大動脈,abdominal aorta
aorta ascendens,上行大動脈,ascending aorta
aorta descendens,下行大動脈,descending aorta
aorta thoracica,胸大動脈,thoracic aorta
apertura,口|開口,aperture
apertura aqueductus cerebri,中脳水道口,apertura aqueductus mesencephali[L]
apertura aqueductus mesencephali,中脳水道口,apertura aqueductus cerebri[L]
apertura externa canaliculi cochleae,蝸牛小管外口,external opening of cochlear canaliculus
apertura externa canaliculi vestibuli,前庭小管外口,external opening of vestibular canaliculus
apertura interna canaliculi cochleae,蝸牛小管内口,internal opening of cochlear canaliculus
apertura interna canaliculi vestibuli,前庭小管内口,internal opening of vestibular canaliculus
apertura pelvis superior,骨盤上口,pelvic inlet
apertura piriformis,梨状口,piriform aperture
apertura sinus frontalis,前頭洞口,opening of frontal sinus
apertura thoracis inferior,胸郭下口,inferior thoracic aperture//thoracic outlet
apertura thoracis superior,胸郭上口,superior thoracic aperture//thoracic inlet
apertura tympanica canaliculi chordae tympani,鼓索小管鼓室口,tympanic aperture of canaliculus for chorda tympani
apex,尖,apex
apex auriculae,耳介尖,apex of auricle
apex capitis fibulae,腓骨頭尖,apex of head of fibula
apex cartilaginis arytenoideae,披裂軟骨尖,apex of arytenoid cartilage
apex cordis,心尖,heart apex†
apex cornus posterioris,後角尖,apex of posterior horn
apex cuspidis,咬頭尖,apex of cusp
apex dentis,歯突起尖,apex dentis
apex linguae,舌尖,lingual apex†
apex nasi,鼻尖,tip of nose
apex ossis sacralis/*apex ossis sacri,仙骨尖,apex of sacrum
apex partis petrosae,錐体尖,apex of petrous part
apex patellae,膝蓋骨尖,patellar apex
apex prostatae,前立腺尖,prostate apex
apex pulmonis,肺尖,lung apex†
apex radicis dentis,歯根尖|根尖,root apex of tooth
apex vesicae,膀胱尖,vesical apex†
aponeurosis,腱膜,aponeurosis
aponeurosis bicipitalis,上腕二頭筋腱膜,bicipital aponeurosis
aponeurosis epicranialis,帽状腱膜,epicranial aponeurosis
aponeurosis glutea,臀筋腱膜,gluteal aponeurosis
aponeurosis linguae,舌腱膜,lingual aponeurosis
aponeurosis musculi bicipitis brachii,上腕二頭筋腱膜,bicipital aponeurosis
aponeurosis musculi erectoris spinae,脊柱起立筋腱膜,erector spinae aponeurosis
aponeurosis palatina,口蓋腱膜,palatine aponeurosis
aponeurosis palmaris,手掌腱膜,palmar aponeurosis
aponeurosis plantaris,足底腱膜,plantar aponeurosis
apparatus digestorius,消化器,digestive apparatus
apparatus lacrimalis,涙器,lacrimal apparatus
appendix,垂,appendix
appendix epididymis,精巣上体垂,appendix of epididymis
appendix fibrosa hepatis,線維付着,fibrous appendix of liver
appendix testis,精巣垂,appendix of testis
appendix vermiformis,虫垂,vermiform appendix
aqueductus,水管|水道,aqueduct
aqueductus cerebri,中脳水道,cerebral aqueduct
aqueductus cochleae,蝸牛水管,cochlear aqueduct
aqueductus vestibuli,前庭水管,vestibular aqueduct
arachnoidea mater spinalis,脊髄クモ膜,spinal arachnoid mater
arbor,樹,tree
arbor bronchialis,気管支樹,bronchial tree
arbor vitae,小脳活樹,arbor vitae
arcus,弓,arch
arcus alveolaris,歯槽弓,alveolar arch
arcus anterior atlantis,前弓,anterior arch
arcus aortae,大動脈弓,arch of aorta
arcus costalis,肋骨弓,costal margin
arcus cartilaginis cricoideae,輪状軟骨弓,arch of cricoid cartilage
arcus dentalis inferior,下歯列弓,arcus dentalis mandibularis[L]
arcus dentalis mandibularis,下歯列弓,arcus dentalis inferior[L]
arcus dentalis maxillaris,上歯列弓,arcus dentalis superior[L]
arcus dentalis superior,[[解]]上歯列弓,arcus dentalis maxillaris[L]
arcus ductus thoracici,胸管弓,arch of thoracic duct
arcus iliopectineus,腸恥筋膜弓,iliopectineal arch
arcus inguinalis,鼠径靭帯,inguinal ligament
arcus palatoglossus,口蓋舌弓,palatoglossal arch
arcus palatopharyngeus,口蓋咽頭弓,palatopharyngeal arch
arcus palmaris profundus,深掌動脈弓,deep palmar arch
arcus palmaris superficialis,浅掌動脈弓,--
arcus palpebralis inferior,下眼瞼動脈弓,inferior palpebral arch
arcus palpebralis superior,上眼瞼動脈弓,--
